,ECO Code,ECO Name,Number of Master Games,Number of f6 moves,SF Eval,No f6 Eval,No f6 Delta,Colour
1. d4 d5 2. Nc3 e6,D00,Queen's Pawn Game: Chigorin Variation,310,0,39,48,9,C3
1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Nc3 Be7 5. Bg5 O-O 6. e3 Nbd7 7. Rc1 a6 8. cxd5,D63,"Queen's Gambit Declined: Orthodox Defense, Swiss, Carlsbad Variation",310,0,34,45,11,C3
1. d4 c5 2. d5 f5,A43,"Benoni Defense: Old Benoni, Mujannah Formation",309,0,144,160,16,C0
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6. Be3 Bg7 7. f3 O-O 8. Qd2 Nc6 9. Bc4 Bd7 10. h4 Qa5 11. O-O-O Rfc8 12. Bb3,B79,"Sicilian Defense: Dragon Variation, Yugoslav Attack",309,0,83,95,12,C1
1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. Na4,D85,"GrÃ¼nfeld Defense: Exchange Variation, Nadanian Attack",309,0,14,17,3,C3
1. d4 d5 2. c4 dxc4 3. Nf3 Nf6 4. Nc3 c5 5. d5 e6 6. e4 exd5 7. e5,D24,"Queen's Gambit Accepted: Gunsberg Defense, Prianishenmo Gambit",309,0,45,37,-8,C3
1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Nf3,B01,"Scandinavian Defense: Portuguese Gambit, Classical Variation",309,0,42,51,9,C1
1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Bb4 5. O-O O-O 6. Bxc6,C49,"Four Knights Game: Spanish Variation, Nimzowitsch Variation",309,0,0,21,21,C2
1. d4 Nf6 2. Nf3 b6 3. g3 Bb7 4. Bg2 c5,A47,Marienbad System,307,0,17,25,8,C0
1. c4 Nf6 2. g3 c6 3. Nf3 d5 4. b3 Bf5,A12,"RÃ©ti Opening: Anglo-Slav Variation, London Defensive System",306,0,-16,-12,4,C0
1. Nc3 e5,A00,Van Geet Opening: Reversed Nimzowitsch,306,0,35,40,5,C0
1. d4 d5 2. c4 e6 3. Nc3 Be7 4. Nf3 Nf6 5. Bg5 h6 6. Bh4 O-O 7. e3 b6 8. cxd5 Nxd5 9. Bxe7 Qxe7 10. Nxd5 exd5 11. Rc1 Be6,D59,Queen's Gambit Declined: Tartakower Defense,304,0,0,3,3,C3
1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. cxd5 Nxd5 5. e4 Nxc3 6. bxc3 Bg7 7. Bc4 c5 8. Ne2 O-O 9. O-O Nc6 10. Be3 Bg4 11. f3 Na5 12. Bd3 cxd4 13. cxd4 Be6 14. d5,D89,"GrÃ¼nfeld Defense: Exchange Variation, Sokolsky Variation",301,0,0,83,83,C3
1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. c3 d5,C44,"Scotch Game: Scotch Gambit, GÃ¶ring Gambit Declined",301,0,-14,0,14,C2
1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. e5 c5 5. Qg4,C17,"French Defense: Winawer Variation, Advance Variation, Moscow Variation",301,0,0,20,20,C2
1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 e6 5. Bg5 dxc4 6. e4 b5 7. e5 h6 8. Bh4 g5 9. exf6 gxh4 10. Ne5,D44,"Semi-Slav Defense: Botvinnik Variation, Ekstrom Variation",301,0,-46,-54,-8,C3
1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 Nf6 5. Nf3 Bg4,B01,"Scandinavian Defense: Valencian Variation, Main Line",301,0,93,101,8,C1
1. e4 e5 2. Nc3 Nc6 3. f4,C25,"Vienna Gambit, with Max Lange Defense",300,0,-79,-52,27,C2
1. e4 e5 2. Nf3 Qe7,C40,Gunderam Defense,298,0,100,108,8,C2
1. d4 d5 2. c4 e6 3. Nc3 c5 4. cxd5 exd5 5. Nf3 Nc6 6. g3 c4,D33,Tarrasch Defense: Swedish Variation,297,0,32,47,15,C3
1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Bf4 Bg7 5. e3 O-O 6. cxd5 Nxd5 7. Nxd5 Qxd5 8. Bxc7,D84,"GrÃ¼nfeld Defense: Brinckmann Attack, GrÃ¼nfeld Gambit Accepted",297,0,16,37,21,C3
1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. d4 d5 6. Bd3 Be7 7. O-O O-O,C42,"Petrov's Defense: Classical Attack, Mason Variation",296,0,39,51,12,C2
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. Nf3 O-O 5. g3 d5 6. cxd5 Nxd5 7. Bg2 c5 8. O-O,D75,Neo-GrÃ¼nfeld Defense: Delayed Exchange Variation,296,0,6,15,9,C3
1. e4 c5 2. b3 b6,B20,"Sicilian Defense: Snyder Variation, Queen Fianchetto Variation",295,0,21,33,12,C1
1. e4 c5 2. Nf3 Nc6 3. Nc3 e5 4. Bc4 Be7 5. d3 d6 6. Nd2 Bg5,B30,"Sicilian Defense: Closed, Anti-Sveshnikov Variation, Kharlov-Kramnik Line",293,0,25,33,8,C1
1. e4 e5 2. Nc3 Bc5,C25,Vienna Game: Anderssen Defense,293,0,39,38,-1,C2
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 c5 5. Bd3 Nc6 6. a3 Bxc3+ 7. bxc3 O-O 8. Ne2 b6 9. e4 Ne8,E29,"Nimzo-Indian Defense: SÃ¤misch Variation, Capablanca Variation",292,0,-10,48,58,C4
1. e4 c5 2. Nf3 a6 3. c4 d6,B28,"Sicilian Defense: O'Kelly Variation, MarÃ³czy Bind, Robatsch Line",292,0,56,62,6,C1
1. d4 d5 2. c4 e6 3. Nf3 c5 4. cxd5 exd5 5. Bg5,D30,"Queen's Gambit Declined: Tarrasch Defense, Pseudo-Tarrasch Bishop Attack",291,33,30,37,7,C3
1. d4 d5 2. e4,D00,Blackmar-Diemer Gambit,289,0,-79,-55,24,C3
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 Ne4 5. Qc2 f5 6. Nf3 b6 7. Bd3 Bb7,E43,Nimzo-Indian Defense: St. Petersburg Variation,289,0,30,30,0,C4
1. d4 d5 2. c4 dxc4 3. Nf3 Nf6 4. e3 g6,D25,Queen's Gambit Accepted: Smyslov Variation,288,0,68,68,0,C3
1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. e3 O-O 6. Qb3 e6,D95,GrÃ¼nfeld Defense: Botvinnik Variation,287,0,-17,-10,7,C3
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. d4,C84,"Ruy Lopez: Closed, Center Attack",286,0,-13,10,23,C2
1. e4 d6 2. d4 Nd7,B00,Rat Defense: Antal Defense,285,0,72,89,17,C1
1. d4 d5 2. c4 c5,D06,Queen's Gambit Declined: Austrian Defense,284,0,56,53,-3,C3
1. c4 e6 2. Nc3 Nf6 3. Nf3 Bb4 4. g4,A17,"English Opening: Anglo-Indian Defense, Zvjaginsev-Krasenkow Attack",282,0,0,29,29,C0
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 d6 8. c3 O-O 9. h3 Na5 10. Bc2 d5,C96,"Ruy Lopez: Closed, Chigorin Defense, Gajewski Gambit",282,0,46,82,36,C2
1. e4 d5 2. exd5 Nf6 3. d4 Bg4 4. Be2,B01,"Scandinavian Defense: Portuguese Gambit, Wuss Variation",281,0,21,31,10,C1
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6 6. Be3 e6 7. g4 e5 8. Nf5 g6 9. g5,B90,"Sicilian Defense: Scheveningen Variation, Delayed Keres Attack, Perenyi Gambit",281,0,0,10,10,C1
1. e4 Nc6 2. d4 d6,B00,Nimzowitsch Defense: Mikenas Variation,281,0,88,103,15,C1
1. e4 e5 2. Nc3 Nf6 3. f4 d5 4. fxe5 Nxe4 5. Nf3 Be7,C29,"Vienna Game: Vienna Gambit, Breyer Variation",280,0,-12,0,12,C2
1. Nf3 c5 2. c4 g6 3. d4 Bg7 4. e4 Qb6,A04,"Modern Defense: Semi-Averbakh Variation, Polish Variation",280,0,79,88,9,C0
1. e4 c6 2. d4 d5 3. e5 Bf5 4. g4,B12,"Caro-Kann Defense: Advance Variation, Bayonet Attack",280,0,6,26,20,C1
1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Nb3 Bb4+,C45,Scotch Game: Romanishin Variation,279,0,44,50,6,C2
1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. e4,A59,Benko Gambit Accepted: Yugoslav,278,0,80,78,-2,C0
1. c4 g6 2. e4 e5,A10,English Opening: Adorjan Defense,276,0,16,24,8,C0
1. e4 e5 2. Nc3 Nf6 3. f4 d5 4. fxe5 Nxe4 5. Qf3,C29,"Vienna Game: Vienna Gambit, Paulsen Attack",276,0,-32,-26,6,C2
1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O Ne4,A92,Dutch Defense: Alekhine Variation,275,0,54,54,0,C0
1. e4 e5 2. Nf3 Nc6 3. Be2,C44,King's Pawn Game: Tayler Opening,274,0,-23,-3,20,C2
1. c4 e5 2. Nc3 Nf6 3. g3 Bb4 4. Bg2 O-O 5. Nf3 Re8 6. O-O e4 7. Nd4 Nc6,A29,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line, Delayed .. Nc6",274,0,-21,-14,7,C0
1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Qh4,C45,Scotch Game: Steinitz Variation,273,0,79,93,14,C2
1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. g3 dxc4 5. Bg2 g6,D11,Slav Defense: Modern Line,272,0,36,35,-1,C3
1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f4 Bg7 8. Nf3 O-O,A68,Benoni Defense: Four Pawns Attack,272,0,20,19,-1,C0
1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6 5. Bd3 Nf6 6. O-O d6 7. c4 g6,B42,"Sicilian Defense: Kan Variation, Gipslis Variation",271,0,102,101,-1,C1
1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6 5. d3 d6 6. b4,C54,"Italian Game: Classical Variation, Giuoco Pianissimo, Albin Variation",270,0,6,4,-2,C2
1. d4 Nf6 2. c4 g6 3. g3 d5,D70,Neo-GrÃ¼nfeld Defense: with g3,269,0,17,24,7,C3
1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4 5. d4 d5 6. Bd3 Nc6 7. O-O Be7 8. c4 Nb4 9. cxd5,C42,"Petrov's Defense: Classical Attack, Chigorin Variation, Browne Attack",268,0,6,89,83,C2
1. d4 d5 2. c4 Bf5 3. Nc3 e6 4. Nf3 Nc6,D06,"Queen's Gambit Declined: Baltic Defense, Pseudo-Chigorin",268,0,34,60,26,C3
1. d4 Nf6 2. c4 g6 3. Nf3 d5,D70,Neo-GrÃ¼nfeld Defense: with Nf3,267,0,59,65,6,C3
1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 g6 5. Bc4 Nb6 6. Bb3 Bg7 7. a4,B04,"Alekhine Defense: Modern Variation, Keres Variation",267,0,83,43,-40,C1
1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bc4,B07,Pirc Defense: Kholmov System,266,0,18,28,10,C1
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 Nc6,E40,"Nimzo-Indian Defense: Normal Variation, Taimanov Variation",266,0,41,51,10,C4
1. e4 e5 2. Nf3 d5,C40,Elephant Gambit,265,0,94,116,22,C2
1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Qe7,C53,"Italian Game: Classical Variation, Closed Variation",263,0,98,131,33,C2
1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O d6 5. d4 Bd7 6. Nc3 Be7,C66,"Ruy Lopez: Berlin Defense, Hedgehog Variation",262,0,54,60,6,C2
1. e4 e5 2. Nf3 Nc6 3. g3,C44,King's Knight Opening: Konstantinopolsky,261,0,-16,-7,9,C2
1. c4 c5 2. Nf3 Nf6 3. Nc3 Nc6 4. g3 d5 5. d4 cxd4,A34,English Opening: Symmetrical Variation,260,0,26,33,7,C0
1. d4 Nf6 2. Nc3 d5 3. Bg5 Nbd7 4. Nf3 g6,D01,"Richter-Veresov Attack: Two Knights System, GrÃ¼nfeld Defense",260,0,0,9,9,C3
1. e4 e5 2. f4 exf4 3. Bc4 Nf6 4. Nc3 c6,C33,"King's Gambit Accepted: Bishop's Gambit, Bogoljubow Defense",260,0,-34,-31,3,C2
1. b4 Nf6 2. Bb2 g6 3. c4 Bg7 4. e3 d6 5. Nf3 O-O 6. d4,A00,"Polish Opening: King's Indian Variation, Sokolsky Attack",260,0,-19,-15,4,C0
1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. d4 exd4 5. e5 Ng4,C44,"Scotch Game: Scotch Gambit, Kingside Variation",260,0,15,51,36,C2
1. e4 e5 2. Nf3 Nc6 3. c3 Nf6 4. d3 d5,C44,Ponziani Opening: Jaenisch Counterattack,260,0,-22,-28,-6,C2
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O Be7 6. Re1 b5 7. Bb3 Bb7,C88,"Ruy Lopez: Closed, Trajkovic Counterattack",259,0,35,48,13,C2
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6. Be3 Bg7 7. Be2 Nc6 8. Nb3,B72,"Sicilian Defense: Dragon Variation, Classical Variation",258,0,0,2,2,C1
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 g6 6. Be3 Bg7 7. f3 Nc6 8. Qd2 O-O 9. Bc4 Nd7,B77,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Sosonko Variation",257,0,99,126,27,C1
1. c4 e5 2. Nc3 Nf6 3. g3 Bc5 4. Bg2 c6,A23,"English Opening: King's English Variation, Two Knights Variation, Keres Variation",257,0,9,29,20,C0
1. e4 e5 2. Nf3 d6 3. d4 Nd7 4. Bc4 c6 5. O-O,C41,"Philidor Defense: Hanham Variation, Krause Variation",256,0,84,95,11,C2
1. d4 Nf6 2. c4 e6 3. Bg5,E00,Indian Defense: Seirawan Attack,255,0,-13,-8,5,C4
1. d4 d5 2. Nc3 Bf5,D00,"Queen's Pawn Game: Chigorin Variation, Alburt Defense",254,0,11,27,16,C3
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5 6. Bb5+,B56,Sicilian Defense: Venice Attack,254,0,67,82,15,C1
1. e4 e5 2. Nf3 d6 3. d4 Nf6 4. dxe5,C41,Philidor Defense: Nimzowitsch Variation,254,0,78,78,0,C2
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 f5,C70,"Ruy Lopez: Morphy Defense, Schliemann Defense Deferred",252,0,96,86,-10,C2
1. d4 d5 2. c4 e6 3. Nc3 Be7 4. Nf3 Nf6 5. Bg5 h6 6. Bh4 O-O 7. e3 Ne4 8. Bxe7 Qxe7 9. cxd5 Nxc3 10. bxc3,D57,"Queen's Gambit Declined: Lasker Defense, Main Line",251,0,8,26,18,C3
1. d4 d5 2. e4 dxe4 3. Nc3 Nf6,D00,Blackmar-Diemer Gambit,251,0,-70,-65,5,C3
1. e4 e5 2. Nf3 Nf6 3. Nxe5 Nxe4,C42,Petrov's Defense: Damiano Variation,251,0,58,117,59,C2
1. d4 Nf6 2. c4 e6 3. Nf3 d5 4. Nc3 Be7 5. Bg5 O-O 6. e3 Nbd7 7. Qc2 c5 8. cxd5,D62,"Queen's Gambit Declined: Orthodox Defense, Rubinstein Variation, Flohr Line",251,0,18,19,1,C3
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. e3 O-O 5. Bd3 d5 6. Nf3 c5 7. O-O b6,E53,"Nimzo-Indian Defense: Normal Variation, Gligoric System, Keres Variation",250,0,8,27,19,C4
1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. Ne2 Nf6 5. Bg5,C15,"French Defense: MacCutcheon Variation, Wolf Gambit",249,0,-10,-8,2,C2
1. e4 Nc6 2. d4 d5 3. exd5 Qxd5,B00,"Nimzowitsch Defense: Scandinavian Variation, Exchange Variation",245,0,21,25,4,C1
1. e4 e5 2. Nf3 Nc6 3. Bb5 Bc5 4. c3 f5,C64,"Ruy Lopez: Classical Variation, Cordel Gambit",244,0,80,83,3,C2
1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d6 7. Nc3 Qe8 8. b3,A99,"Dutch Defense: Classical Variation, Ilyin-Zhenevsky Variation, Modern Main Line",241,0,70,68,-2,C0
1. b3 b6,A01,Nimzo-Larsen Attack: Symmetrical Variation,240,0,26,31,5,C0
1. e4 c5 2. Nf3 d6 3. d4 Nf6 4. dxc5 Nxe4,B50,"Sicilian Defense: Modern Variations, Anti-Qxd4 Move Order Accepted",239,0,19,46,27,C1
1. d4 Nf6 2. c4 e6 3. Nc3 d5 4. Bg5 Be7 5. e3 O-O 6. Rc1,D54,Queen's Gambit Declined: Neo-Orthodox Variation,239,0,0,11,11,C3
1. g3 d5 2. Bg2 c5,A00,Hungarian Opening: Reversed Modern Defense,239,0,20,20,0,C0
1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7 5. Bd3 c5 6. c3 Nc6 7. Ne2 cxd4 8. cxd4 Nb6,C06,"French Defense: Tarrasch Variation, Leningrad Variation",239,0,120,151,31,C2
1. e4 g6 2. d4 Nf6,B06,Modern Defense: Norwegian Defense,238,0,128,130,2,C1
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 d6 6. Bg5 g6,B60,"Sicilian Defense: Richter-Rauzer Variation, Dragon Variation",237,0,56,58,2,C1
1. e4 e5 2. Nf3 Nc6 3. c3 Nf6 4. d3 d5 5. Nbd2,C44,Ponziani Opening: Jaenisch Counterattack,237,0,-29,-29,0,C2
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 d6 5. c4,C71,"Ruy Lopez: Morphy Defense, Modern Steinitz Defense",236,0,24,21,-3,C2
1. d4 Nf6 2. c4 g6 3. Nf3 Bg7 4. g3 O-O 5. Bg2 d6 6. O-O Nc6 7. Nc3 a6 8. d5 Na5 9. Nd2 c5 10. Qc2 Rb8 11. b3 b5 12. Bb2 bxc4 13. bxc4 Bh6,E63,"King's Indian Defense: Fianchetto Variation, Panno Variation, Donner Line",236,0,82,76,-6,C4
1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. Bd2,C15,"French Defense: Winawer Variation, Fingerslip Variation",234,0,0,0,0,C2
1. d4 Nf6 2. c4 e6 3. Nf3 Bb4+ 4. Bd2 Be7,E11,Bogo-Indian Defense: Retreat Variation,234,0,32,31,-1,C4
1. d4 Nf6 2. c4 d6 3. Nc3 Bf5 4. f3,A53,"Old Indian Defense: Janowski Variation, Main Line",230,0,53,56,3,C0
1. e4 e5 2. f4 exf4 3. Nf3 g5 4. h4 g4 5. Ne5 Nf6,C39,"King's Gambit Accepted: Kieseritzky Gambit, Berlin Defense",230,0,-46,-52,-6,C2
1. d4 Nf6 2. Nf3 e6 3. e3 c5 4. Bd3 d5 5. b3 Nc6 6. O-O Be7 7. Bb2 O-O,D05,Rubinstein Opening: Classical Defense,230,0,6,19,13,C3
1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Nxe4 5. d4 a6,C67,"Ruy Lopez: Berlin Defense, Rosenthal Variation",229,0,46,49,3,C2
1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d5 7. Nc3 c6,A95,Dutch Defense: Stonewall Variation,229,0,48,55,7,C0
1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Nf6 5. O-O Bc5,C56,"Italian Game: Scotch Gambit, Max Lange Attack",229,0,34,38,4,C2
1. e4 d6 2. d4 Nf6 3. Nc3 Nbd7 4. g4,B07,Lion Defense: Bayonet Attack,228,0,55,59,4,C1
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 d6 6. Be2 g6 7. Be3 Bg7 8. Qd2 O-O 9. O-O-O,B72,"Sicilian Defense: Dragon Variation, Classical Variation, Grigoriev Variation",228,0,27,36,9,C1
1. c4 e5 2. Nf3 e4,A20,"English Opening: King's English Variation, Nimzowitsch-Flohr Variation",227,0,-8,-14,-6,C0
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. Nf3 O-O 6. Be2 e5 7. O-O Nc6 8. d5 Ne7 9. Bd2,E97,"King's Indian Defense: Orthodox Variation, Korchnoi Attack",227,0,60,53,-7,C4
1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nc6 5. Nc3 Qc7 6. Be2 a6 7. O-O Nf6 8. Kh1 Be7 9. f4 d6 10. a4,B85,"Sicilian Defense: Scheveningen Variation, Classical Variation, Paulsen Variation",227,0,24,19,-5,C1
1. d4 Nf6 2. Nc3 d5 3. Bg5 Bf5 4. f3,D01,Richter-Veresov Attack: Richter Variation,225,0,-28,-30,-2,C3
1. d4 d5 2. c4 dxc4 3. e3 Nf6 4. Bxc4 e6 5. Nf3 c5 6. O-O a6 7. e4,D27,"Queen's Gambit Accepted: Classical Defense, Russian Gambit",225,0,14,23,9,C3
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4 4. a3 Bxc3+ 5. bxc3 O-O,E27,Nimzo-Indian Defense: SÃ¤misch Variation,224,0,39,31,-8,C4
1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. f3 exf3,D00,Blackmar-Diemer Gambit Accepted,224,0,-68,-65,3,C3
1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bb5 Nd4 5. Ba4 Bc5 6. Nxe5 O-O,C48,"Four Knights Game: Spanish Variation, Rubinstein Variation, Marshall Gambit",223,0,-9,0,9,C2
1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. Nc3 e6 5. e3 Nbd7 6. Bd3 dxc4 7. Bxc4 b5 8. Bd3 a6 9. e4 c5 10. e5 cxd4 11. Nxb5 Nxe5,D49,"Semi-Slav Defense: Meran Variation, Sozin Variation",222,0,35,52,17,C3
1. d4 f5 2. g3 Nf6 3. Bg2 e6 4. Nh3,A81,Dutch Defense: Blackburne Variation,221,0,43,41,-2,C0
1. d4 d5 2. c4 e6 3. Nc3 c5 4. cxd5 exd5 5. Nf3 Nc6 6. g3 Nf6 7. Bg2 Be7 8. O-O O-O 9. Bg5 Be6,D34,"Tarrasch Defense: Classical Variation, Endgame Variation",220,0,44,45,1,C3
1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. Be2 O-O 6. Bg5 c5 7. dxc5,E74,"King's Indian Defense: Averbakh Variation, Benoni Defense, Exchange Variation",219,0,-31,33,64,C4
1. d4 Nf6 2. c4 e5 3. dxe5 Ng4 4. e4,A52,"Indian Defense: Budapest Defense, Alekhine Variation",219,0,85,99,14,C0
1. e4 e5 2. Nf3 Nf6 3. Nxe5 Nxe4 4. Qe2 Qe7,C42,"Petrov's Defense: Damiano Variation, Kholmov Gambit",219,0,54,119,65,C2
1. e4 e6 2. d4 d5 3. Nc3 Nf6 4. Bg5 Be7 5. e5 Nfd7 6. h4 c5,C13,"French Defense: Alekhine-Chatard Attack, Breyer Variation",218,0,86,156,70,C2
1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. O-O Nf6 5. d3 h6 6. c3,C54,"Italian Game: Classical Variation, Giuoco Pianissimo",217,0,22,17,-5,C2
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 d6 6. Be2 g6 7. Be3 Bg7 8. Qd2,B72,"Sicilian Defense: Dragon Variation, Classical Variation, Amsterdam Variation",217,0,17,34,17,C1
1. Nc3 e5 2. Nf3 Nc6 3. d4,A00,Van Geet Opening: Napoleon Attack,217,0,30,27,-3,C0
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 e5 6. Ndb5 d6 7. Bg5 a6 8. Na3 b5 9. Bxf6 gxf6 10. Nd5 f5 11. Bxb5,B33,"Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Peresypkin's Sacrifice",217,0,-24,0,24,C1
1. d4 Nf6 2. Nc3 d5 3. Bg5 Bf5 4. Bxf6,D01,Richter-Veresov Attack: Veresov Variation,216,0,-31,-30,1,C3
1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. b4 Bb6,C51,Italian Game: Evans Gambit Declined,214,0,26,28,2,C2
1. d4 d5 2. c4 c6 3. Nc3 Nf6 4. e3 e6 5. Nf3 Nbd7 6. Qc2 b6 7. b3,D45,Semi-Slav Defense: Stoltz Variation,213,0,16,19,3,C3
1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Nf3 Bg7 5. Qb3 dxc4 6. Qxc4 O-O 7. e4 Bg4 8. Be3 Nfd7 9. Qb3,D99,"GrÃ¼nfeld Defense: Russian Variation, Smyslov Variation",213,0,35,32,-3,C3
1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 Nc6 6. Bg5 Qa5,B13,"Caro-Kann Defense: Panov Attack, Modern Defense, Czerniak Line",212,0,30,43,13,C1
1. d4 d5 2. c4 e6 3. Nc3 Nf6 4. Bg5 Be7 5. e3 O-O 6. Nf3 Nbd7 7. Rc1 c6 8. Bd3 dxc4 9. Bxc4 Nd5 10. Bxe7 Qxe7 11. Ne4,D67,"Queen's Gambit Declined: Orthodox Defense, Alekhine Variation",212,0,21,23,2,C3
1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5 5. exd5 b5,C57,"Italian Game: Two Knights Defense, Ulvestad Variation",212,0,49,54,5,C2
1. e4 c6 2. d4 Na6,B12,Caro-Kann Defense: De Bruycker Defense,212,0,98,119,21,C1
1. d4 d5 2. c4 c6 3. Nf3 Nf6 4. e3 Bf5 5. cxd5 cxd5 6. Nc3,D13,"Slav Defense: Exchange Variation, Schallopp Variation",211,0,-1,-3,-2,C3
1. e4 c6 2. d4 d5 3. e5 Bf5 4. Ne2,B12,"Caro-Kann Defense: Advance Variation, Bronstein Variation",211,0,-7,13,20,C1
1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d5 7. b3 c6 8. Ba3,A94,Dutch Defense: Stonewall Variation,211,0,36,39,3,C0
1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 b5 5. Bg5 exd5 6. cxd5 h6,E10,Blumenfeld Countergambit: Spielmann Variation,211,0,37,50,13,C4
1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6 5. d4 exd4 6. cxd4 Bb4+ 7. Nc3,C54,"Italian Game: Giuoco Piano, Greco's Attack",210,0,-29,-9,20,C2
1. d4 Nc6 2. c4 e5 3. d5 Nce7,A40,Mikenas Defense: Lithuanian Variation,210,0,91,90,-1,C0
1. d4 d6 2. Nf3 Bg4 3. c4 Nd7 4. Qb3 Rb8,A41,"Zukertort Opening: Wade Defense, Chigorin Plan",208,0,75,71,-4,C0
